"time","cprom","price","prom","share","prom_diff","rel_prom"
1990-01-01,0.7396,-0.4634,-0.1098,42.41,-0.8494,-0.1484586
1990-01-08,0.7576,-0.6069,-0.269,42.37,-1.0266,-0.3550686
1990-01-15,0.7685,-0.7236,-0.4251,42.7,-1.1936,-0.5531555
1990-01-22,0.7811,-0.8301,-0.4869,42.79,-1.268,-0.6233517
1990-01-29,0.8331,-0.9374,-0.596,42.3,-1.4291,-0.7154003
1990-02-05,0.8411,-0.9612,-0.4562,42.54,-1.2973,-0.542385
1990-02-12,0.8057,-0.9379,-0.1607,42.65,-0.9664,-0.1994539
1990-02-19,0.8254,-0.8833,0.1171,42.13,-0.7083,0.1418706
1990-02-26,0.8494,-0.748,0.5365,42.11,-0.3129,0.6316223
1990-03-05,0.8589,-0.574,0.9342,41.44,0.0753,1.08767
1990-03-12,0.8161,-0.3505,1.297,41.42,0.4809,1.589266
1990-03-19,0.6698,-0.1062,1.588,41.84,0.9182,2.370857
1990-03-26,0.5751,0.1099,1.79,41.27,1.2149,3.112502
1990-04-02,0.529,0.3373,1.917,41.34,1.388,3.623819
1990-04-09,0.4533,0.562,1.992,41.2,1.5387,4.394441
1990-04-16,0.3849,0.7444,1.953,41.05,1.5681,5.074045
1990-04-23,0.3258,0.9449,1.822,40.79,1.4962,5.592388
1990-04-30,0.2748,1.153,1.566,40.27,1.2912,5.69869
1990-05-07,0.148,1.383,1.287,39.81,1.139,8.695946
1990-05-14,0.03232,1.56,0.9042,40.17,0.87188,27.97649
1990-05-21,-0.1446,1.689,0.5173,39.64,0.6619,-3.577455
1990-05-28,-0.3017,1.77,0.2732,39.79,0.5749,-0.9055353
1990-06-04,-0.46,1.881,-0.02944,39.51,0.43056,0.064
1990-06-11,-0.609,1.907,-0.1199,39.78,0.4891,0.1968801
1990-06-18,-0.738,2.008,0.06426,39.78,0.80226,-0.08707317
1990-06-25,-0.8167,2.036,0.2806,39.79,1.0973,-0.3435778
1990-07-02,-0.849,2.133,0.5214,39.73,1.3704,-0.6141343
1990-07-09,-0.846,2.212,0.75,39.43,1.596,-0.8865248
1990-07-16,-0.837,2.289,0.8261,39.37,1.6631,-0.9869773
1990-07-23,-0.8464,2.292,0.8643,39.43,1.7107,-1.021148
1990-07-30,-0.8616,2.26,0.9232,39.67,1.7848,-1.071495
1990-08-06,-0.8504,2.107,0.8019,39.67,1.6523,-0.942968
1990-08-13,-0.8066,1.945,0.604,39.76,1.4106,-0.7488222
1990-08-20,-0.7489,1.818,0.3959,39.19,1.1448,-0.528642
1990-08-27,-0.7677,1.644,0.1606,40.1,0.9283,-0.2091963
1990-09-03,-0.8532,1.479,-0.134,40.13,0.7192,0.1570558
1990-09-10,-0.9226,1.322,-0.3674,40.21,0.5552,0.3982224
1990-09-17,-1.003,1.215,-0.6505,40.32,0.3525,0.6485543
1990-09-24,-1.1,1.105,-0.8405,40.68,0.2595,0.7640909
1990-10-01,-1.183,1.024,-0.976,40.77,0.207,0.8250211
1990-10-08,-1.22,0.8928,-1.044,41.34,0.176,0.8557377
1990-10-15,-1.158,0.8021,-1.154,40.88,0.004,0.9965458
1990-10-22,-1.008,0.7168,-1.174,41.01,-0.166,1.164683
1990-10-29,-0.8183,0.7054,-1.192,41.12,-0.3737,1.456678
1990-11-05,-0.5612,0.6475,-1.216,40.69,-0.6548,2.166785
1990-11-12,-0.263,0.6363,-1.201,40.62,-0.938,4.56654
1990-11-19,0.03073,0.5982,-1.171,40.64,-1.20173,-38.10609
1990-11-26,0.3259,0.6086,-1.153,40.35,-1.4789,-3.537895
1990-12-03,0.606,0.5853,-1.153,40.28,-1.759,-1.90264
1990-12-10,0.8455,0.5338,-1.154,40.08,-1.9995,-1.364873
1990-12-17,1.018,0.4695,-1.204,39.93,-2.222,-1.182711
1990-12-24,1.079,0.4116,-1.201,40.02,-2.28,-1.113068
1990-12-31,1.013,0.3116,-1.196,40.22,-2.209,-1.180652
1991-01-07,0.827,0.1671,-1.211,40.53,-2.038,-1.464329
1991-01-14,0.5388,-0.03004,-1.258,41.36,-1.7968,-2.334818
1991-01-21,0.2153,-0.223,-1.271,41.65,-1.4863,-5.903391
1991-01-28,-0.08566,-0.3647,-1.2,42.06,-1.11434,14.00887
1991-02-04,-0.3463,-0.5157,-1.048,42.39,-0.7017,3.026278
1991-02-11,-0.5429,-0.6742,-0.8303,42.94,-0.2874,1.529379
1991-02-18,-0.6406,-0.7945,-0.4674,42.88,0.1732,0.7296285
1991-02-25,-0.6462,-0.8657,-0.108,43.06,0.5382,0.1671309
1991-03-04,-0.5968,-0.9095,0.3412,42.79,0.938,-0.5717158
1991-03-11,-0.5411,-0.8714,0.7458,42.97,1.2869,-1.378303
1991-03-18,-0.5139,-0.7866,1.047,42.71,1.5609,-2.037361
1991-03-25,-0.5279,-0.6809,1.342,42.82,1.8699,-2.542148
1991-04-01,-0.5911,-0.5306,1.618,42.5,2.2091,-2.737269
1991-04-08,-0.7087,-0.49,1.652,43.03,2.3607,-2.331029
1991-04-15,-0.8407,-0.508,1.613,42.95,2.4537,-1.918639
1991-04-22,-0.9349,-0.5476,1.325,42.85,2.2599,-1.417264
1991-04-29,-1.01,-0.668,1.079,43.02,2.089,-1.068317
1991-05-06,-1.065,-0.8562,0.7688,43.23,1.8338,-0.7218779
1991-05-13,-1.085,-1.055,0.399,43.13,1.484,-0.3677419
1991-05-20,-1.093,-1.23,-0.02494,43.17,1.06806,0.02281793
1991-05-27,-1.132,-1.452,-0.367,43.25,0.765,0.3242049
1991-06-03,-1.224,-1.588,-0.6647,43.61,0.5593,0.5430556
1991-06-10,-1.348,-1.662,-0.7769,43.82,0.5711,0.5763353
1991-06-17,-1.459,-1.655,-0.9572,43.78,0.5018,0.6560658
1991-06-24,-1.539,-1.61,-0.9939,43.97,0.5451,0.645809
1991-07-01,-1.555,-1.558,-1.049,43.62,0.506,0.6745981
1991-07-08,-1.504,-1.481,-1.063,43.89,0.441,0.7067819
1991-07-15,-1.37,-1.439,-1.113,43.5,0.257,0.8124088
1991-07-22,-1.141,-1.348,-1.153,43.27,-0.012,1.010517
1991-07-29,-0.8571,-1.307,-1.178,43.27,-0.3209,1.374402
1991-08-05,-0.5144,-1.311,-1.209,42.95,-0.6946,2.350311
1991-08-12,-0.134,-1.33,-1.209,42.66,-1.075,9.022388
1991-08-19,0.216,-1.391,-1.208,42.96,-1.424,-5.592593
1991-08-26,0.53,-1.372,-1.241,42.94,-1.771,-2.341509
1991-09-02,0.8421,-1.329,-1.272,42.74,-2.1141,-1.510509
1991-09-09,1.145,-1.317,-1.273,42.54,-2.418,-1.11179
1991-09-16,1.405,-1.28,-1.297,42.64,-2.702,-0.9231317
1991-09-23,1.623,-1.228,-1.292,42.46,-2.915,-0.7960567
1991-09-30,1.809,-1.178,-1.279,42.27,-3.088,-0.7070205
1991-10-07,1.932,-1.106,-1.128,42.38,-3.06,-0.5838509
1991-10-14,1.998,-1.071,-0.8355,42.45,-2.8335,-0.4181682
1991-10-21,2.033,-1.016,-0.4778,42.44,-2.5108,-0.2350221
1991-10-28,2.036,-0.8814,0.02844,42.29,-2.00756,0.01396857
1991-11-04,1.986,-0.7362,0.545,42.18,-1.441,0.2744209
1991-11-11,1.851,-0.6147,1.14,42.51,-0.711,0.6158833
1991-11-18,1.657,-0.4705,1.59,42.66,-0.067,0.9595655
1991-11-25,1.478,-0.2653,1.975,42.5,0.497,1.336265
1991-12-02,1.35,-0.08328,2.2,42.12,0.85,1.62963
1991-12-09,1.24,0.05209,2.387,42.05,1.147,1.925
1991-12-16,1.119,0.1315,2.442,42.26,1.323,2.182306
1991-12-23,1.056,0.2061,2.423,41.85,1.367,2.294508
